# source: Table of dates 172–221 B.E. accompanying implementation guidance for the Badí‘ calendar
# publisher: Universal House of Justice / National Spiritual Assembly of the Bahá’ís of New Zealand
# url: https://guidelines.bahai.org.nz/wp-content/uploads/2022/07/GLSA-08-Holy-Days.pdf
# accessed: 2026-08-03
# license: redistribution rights unclear — transcribed facts only
# notes: 550 rows. Naw-Rúz and Twin Birthdays are transcribed from the 50-year table. The other eight holy days use the source’s own conditional date table (20-March versus 21-March Naw-Rúz); no astronomical generation was performed.
# verification: bodu 2026-08-03 — 550 rows = 50 years x 11 ids; fixed holy days at uniform Badi offsets from Naw-Ruz (+31/+39/+42/+64/+69/+111/+250/+252); Naw-Ruz always 20/21 Mar; Twin Birthdays consecutive within 14 Oct-14 Nov; Birth of the Bab within 1 day of (8th new moon after Naw-Ruz, Tehran) + 1 day for all 50 years (tools/verify-bahai-poya-vectors.py); matches the committed 2025 exact and 2026 (183 B.E.) test anchors 7/7.
# columns: be_year,gregorian_year,holy_day_id,gregorian_date
be_year,gregorian_year,holy_day_id,gregorian_date
172,2015,naw-ruz,2015-03-21
172,2015,first-day-of-ridvan,2015-04-21
172,2015,ninth-day-of-ridvan,2015-04-29
172,2015,twelfth-day-of-ridvan,2015-05-02
172,2015,declaration-of-the-bab,2015-05-24
172,2015,ascension-of-bahaullah,2015-05-29
172,2015,martyrdom-of-the-bab,2015-07-10
172,2015,day-of-the-covenant,2015-11-26
172,2015,ascension-of-abdul-baha,2015-11-28
172,2015,birth-of-the-bab,2015-11-13
172,2015,birth-of-bahaullah,2015-11-14
173,2016,naw-ruz,2016-03-20
173,2016,first-day-of-ridvan,2016-04-20
173,2016,ninth-day-of-ridvan,2016-04-28
173,2016,twelfth-day-of-ridvan,2016-05-01
173,2016,declaration-of-the-bab,2016-05-23
173,2016,ascension-of-bahaullah,2016-05-28
173,2016,martyrdom-of-the-bab,2016-07-09
173,2016,day-of-the-covenant,2016-11-25
173,2016,ascension-of-abdul-baha,2016-11-27
173,2016,birth-of-the-bab,2016-11-01
173,2016,birth-of-bahaullah,2016-11-02
174,2017,naw-ruz,2017-03-20
174,2017,first-day-of-ridvan,2017-04-20
174,2017,ninth-day-of-ridvan,2017-04-28
174,2017,twelfth-day-of-ridvan,2017-05-01
174,2017,declaration-of-the-bab,2017-05-23
174,2017,ascension-of-bahaullah,2017-05-28
174,2017,martyrdom-of-the-bab,2017-07-09
174,2017,day-of-the-covenant,2017-11-25
174,2017,ascension-of-abdul-baha,2017-11-27
174,2017,birth-of-the-bab,2017-10-21
174,2017,birth-of-bahaullah,2017-10-22
175,2018,naw-ruz,2018-03-21
175,2018,first-day-of-ridvan,2018-04-21
175,2018,ninth-day-of-ridvan,2018-04-29
175,2018,twelfth-day-of-ridvan,2018-05-02
175,2018,declaration-of-the-bab,2018-05-24
175,2018,ascension-of-bahaullah,2018-05-29
175,2018,martyrdom-of-the-bab,2018-07-10
175,2018,day-of-the-covenant,2018-11-26
175,2018,ascension-of-abdul-baha,2018-11-28
175,2018,birth-of-the-bab,2018-11-09
175,2018,birth-of-bahaullah,2018-11-10
176,2019,naw-ruz,2019-03-21
176,2019,first-day-of-ridvan,2019-04-21
176,2019,ninth-day-of-ridvan,2019-04-29
176,2019,twelfth-day-of-ridvan,2019-05-02
176,2019,declaration-of-the-bab,2019-05-24
176,2019,ascension-of-bahaullah,2019-05-29
176,2019,martyrdom-of-the-bab,2019-07-10
176,2019,day-of-the-covenant,2019-11-26
176,2019,ascension-of-abdul-baha,2019-11-28
176,2019,birth-of-the-bab,2019-10-29
176,2019,birth-of-bahaullah,2019-10-30
177,2020,naw-ruz,2020-03-20
177,2020,first-day-of-ridvan,2020-04-20
177,2020,ninth-day-of-ridvan,2020-04-28
177,2020,twelfth-day-of-ridvan,2020-05-01
177,2020,declaration-of-the-bab,2020-05-23
177,2020,ascension-of-bahaullah,2020-05-28
177,2020,martyrdom-of-the-bab,2020-07-09
177,2020,day-of-the-covenant,2020-11-25
177,2020,ascension-of-abdul-baha,2020-11-27
177,2020,birth-of-the-bab,2020-10-18
177,2020,birth-of-bahaullah,2020-10-19
178,2021,naw-ruz,2021-03-20
178,2021,first-day-of-ridvan,2021-04-20
178,2021,ninth-day-of-ridvan,2021-04-28
178,2021,twelfth-day-of-ridvan,2021-05-01
178,2021,declaration-of-the-bab,2021-05-23
178,2021,ascension-of-bahaullah,2021-05-28
178,2021,martyrdom-of-the-bab,2021-07-09
178,2021,day-of-the-covenant,2021-11-25
178,2021,ascension-of-abdul-baha,2021-11-27
178,2021,birth-of-the-bab,2021-11-06
178,2021,birth-of-bahaullah,2021-11-07
179,2022,naw-ruz,2022-03-21
179,2022,first-day-of-ridvan,2022-04-21
179,2022,ninth-day-of-ridvan,2022-04-29
179,2022,twelfth-day-of-ridvan,2022-05-02
179,2022,declaration-of-the-bab,2022-05-24
179,2022,ascension-of-bahaullah,2022-05-29
179,2022,martyrdom-of-the-bab,2022-07-10
179,2022,day-of-the-covenant,2022-11-26
179,2022,ascension-of-abdul-baha,2022-11-28
179,2022,birth-of-the-bab,2022-10-26
179,2022,birth-of-bahaullah,2022-10-27
180,2023,naw-ruz,2023-03-21
180,2023,first-day-of-ridvan,2023-04-21
180,2023,ninth-day-of-ridvan,2023-04-29
180,2023,twelfth-day-of-ridvan,2023-05-02
180,2023,declaration-of-the-bab,2023-05-24
180,2023,ascension-of-bahaullah,2023-05-29
180,2023,martyrdom-of-the-bab,2023-07-10
180,2023,day-of-the-covenant,2023-11-26
180,2023,ascension-of-abdul-baha,2023-11-28
180,2023,birth-of-the-bab,2023-10-16
180,2023,birth-of-bahaullah,2023-10-17
181,2024,naw-ruz,2024-03-20
181,2024,first-day-of-ridvan,2024-04-20
181,2024,ninth-day-of-ridvan,2024-04-28
181,2024,twelfth-day-of-ridvan,2024-05-01
181,2024,declaration-of-the-bab,2024-05-23
181,2024,ascension-of-bahaullah,2024-05-28
181,2024,martyrdom-of-the-bab,2024-07-09
181,2024,day-of-the-covenant,2024-11-25
181,2024,ascension-of-abdul-baha,2024-11-27
181,2024,birth-of-the-bab,2024-11-02
181,2024,birth-of-bahaullah,2024-11-03
182,2025,naw-ruz,2025-03-20
182,2025,first-day-of-ridvan,2025-04-20
182,2025,ninth-day-of-ridvan,2025-04-28
182,2025,twelfth-day-of-ridvan,2025-05-01
182,2025,declaration-of-the-bab,2025-05-23
182,2025,ascension-of-bahaullah,2025-05-28
182,2025,martyrdom-of-the-bab,2025-07-09
182,2025,day-of-the-covenant,2025-11-25
182,2025,ascension-of-abdul-baha,2025-11-27
182,2025,birth-of-the-bab,2025-10-22
182,2025,birth-of-bahaullah,2025-10-23
183,2026,naw-ruz,2026-03-21
183,2026,first-day-of-ridvan,2026-04-21
183,2026,ninth-day-of-ridvan,2026-04-29
183,2026,twelfth-day-of-ridvan,2026-05-02
183,2026,declaration-of-the-bab,2026-05-24
183,2026,ascension-of-bahaullah,2026-05-29
183,2026,martyrdom-of-the-bab,2026-07-10
183,2026,day-of-the-covenant,2026-11-26
183,2026,ascension-of-abdul-baha,2026-11-28
