# IMD Rashtriya Panchang 1944 Saka Era (2022-2023 A.D.), English edition: the 'Principal
#   Festivals and Anniversaries' table (93 rows), machine-extracted from the text layer
#   of 'RP_1944SE.pdf' (India Meteorological Department, Positional Astronomy Centre; acquisition
#   record with URL + SHA-256 in ../raw/imd-rashtriya-panchang/manifest.json - the PDF is
#   not committed pending redistribution confirmation).
# Source class: official-published. Unlike the 1947 S.E. edition this PDF carries a real
#   text layer, so rows were parsed mechanically and then machine-verified: every printed
#   weekday matches the derived Gregorian date, the dates are strictly increasing, and the
#   S.E./K.E. era columns advance exactly at their month rollovers (Chaitra / Vaisakha).
# gregorianDate composes the printed day/month with the section-context year; printedDate
#   normalizes the printed day/month to 'DD Mon.' (day zero-padded, trailing period added
#   where the print omits it); printedWeekday is verbatim. festivals preserves the printed
#   comma-separated names, wrapped lines joined with a space.
# Saka/Kali dates are the printed luni-solar reckonings ('(ni)' = nija regular month,
#   '(ad)' = adhika intercalary month), day numbers zero-padded; sakaYear/kaliYear carry
#   the section-context era years.
row,gregorianDate,printedDate,printedWeekday,sakaDate,sakaYear,kaliDate,kaliYear,festivals,notes
1,2022-03-22,22 Mar.,Tue,01 Chaitra,1944,(ni) 08 Chaitra,5122,Indian New Year's Day,
2,2022-04-02,02 Apr.,Sat,12 Chaitra,1944,(ni) 19 Chaitra,5122,"Chaitra Sukladi (Gudi Padava,Ugadi) Cheti Chand (Sindhi New Year's Day) Telugu New Year's Day Vasant Navaratrarambha",
3,2022-04-03,03 Apr.,Sun,13 Chaitra,1944,(ni) 20 Chaitra,5122,First Day of Ramadan,
4,2022-04-04,04 Apr.,Mon,14 Chaitra,1944,(ni) 21 Chaitra,5122,Gauri Tritiya (Gangaur),
5,2022-04-08,08 Apr.,Fri,18 Chaitra,1944,(ni) 25 Chaitra,5122,"Vasanti Pujarambha, Oli Begins (Jain)",
6,2022-04-09,09 Apr.,Sat,19 Chaitra,1944,(ni) 26 Chaitra,5122,Annapurna Puja,
7,2022-04-10,10 Apr.,Sun,20 Chaitra,1944,(ni) 27 Chaitra,5122,Rama Navami,
8,2022-04-14,14 Apr.,Thu,24 Chaitra,1944,(ni) 01 Vaisakha,5123,"Visu (Kerala), Chaitra Samkranti, Meshadi Cheiroba (Manipur), Mesha Samkranti (Odisha) Vaisakhi (Punjab, Hariyana, H.P., Delhi & Odisha) Dr. B. R. Ambedkar Jayanti, Chadak Puja (Bengal) New Year of All India Nirayana (5123 K.E.) Tamil New Year's Day (T. N.), Mahavira Jayanti",
9,2022-04-15,15 Apr.,Fri,25 Chaitra,1944,(ni) 02 Vaisakha,5123,"Good Friday, Vaisakhadi (Bengal) Bhag Bihu (Assam), Shilhenba (Manipur)",
10,2022-04-16,16 Apr.,Sat,26 Chaitra,1944,(ni) 03 Vaisakha,5123,"Easter (Holy) Saturday, Oli Ends (Jain)",
11,2022-04-17,17 Apr.,Sun,27 Chaitra,1944,(ni) 04 Vaisakha,5123,"First Day of Passover (Pesach), Easter Sunday",
12,2022-04-23,23 Apr.,Sat,03 Vaisakha,1944,(ni) 10 Vaisakha,5123,Babu Kuer Singh Day (Bihar),
13,2022-04-29,29 Apr.,Fri,09 Vaisakha,1944,(ni) 16 Vaisakha,5123,"Jumat ul Vida, Sab-e-Qadr (Preceding night)",
14,2022-05-01,01 May.,Sun,11 Vaisakha,1944,(ni) 18 Vaisakha,5123,May Day,
15,2022-05-03,03 May.,Tue,13 Vaisakha,1944,(ni) 20 Vaisakha,5123,"Akshaya Tritiya, Parasuram Jayanti, Id-ul-Fitr",
16,2022-05-06,06 May.,Fri,16 Vaisakha,1944,(ni) 23 Vaisakha,5123,"Sri Sankaracharya Jayanti, Sri Ramanujacharya Jayanti (S. India)",
17,2022-05-07,07 May.,Sat,17 Vaisakha,1944,(ni) 24 Vaisakha,5123,Sri Ramanujacharya Jayanti,
18,2022-05-09,09 May.,Mon,19 Vaisakha,1944,(ni) 26 Vaisakha,5123,Birthday of Rabindranath Tagore,
19,2022-05-10,10 May.,Tue,20 Vaisakha,1944,(ni) 27 Vaisakha,5123,Trichur Pooram (Kerala),
20,2022-05-12,12 May.,Thu,22 Vaisakha,1944,(ni) 29 Vaisakha,5123,Minakshi Kalyanam,
21,2022-05-16,16 May.,Mon,26 Vaisakha,1944,(ni) 02 Jyaishtha,5123,"Vaisakhi Purnima, Buddha Purnima (Beginning of Buddha Era)",
22,2022-05-26,26 May.,Thu,05 Jyaishtha,1944,(ni) 12 Jyaishtha,5123,Ascension Day-Holy Thursday,
23,2022-06-02,02 June.,Thu,12 Jyaishtha,1944,(ni) 19 Jyaishtha,5123,Pratap Jayanti (Rajasthan),
24,2022-06-05,05 June.,Sun,15 Jyaishtha,1944,(ni) 22 Jyaishtha,5123,Jamatri Shashthi (Bengal),
25,2022-07-01,01 July.,Fri,10 Asadha,1944,(ni) 17 Asadha,5123,Rathayatra,
26,2022-07-07,07 July.,Thu,16 Asadha,1944,(ni) 23 Asadha,5123,Karchi Puja (Tripura),
27,2022-07-10,10 July.,Sun,19 Asadha,1944,(ni) 26 Asadha,5123,Id-uz-Zuha (Bakrid),
28,2022-07-26,26 July.,Tue,04 Sravana,1944,(ni) 11 Sravana,5123,Ker Puja (Tripura),
29,2022-07-31,31 July.,Sun,09 Sravana,1944,(ni) 16 Sravana,5123,Madhusrava Tritiya (Teej) Beginning of Hejira Era,
30,2022-08-01,01 Aug.,Mon,10 Sravana,1944,(ni) 17 Sravana,5123,Tilak Commemoration Day,
31,2022-08-02,02 Aug.,Tue,11 Sravana,1944,(ni) 18 Sravana,5123,Naga Panchami,
32,2022-08-09,09 Aug.,Tue,18 Sravana,1944,(ni) 25 Sravana,5123,Muharram,
33,2022-08-11,11 Aug.,Thu,20 Sravana,1944,(ni) 27 Sravana,5123,Raksha Bandhan,
34,2022-08-12,12 Aug.,Fri,21 Sravana,1944,(ni) 28 Sravana,5123,Amarnath Yatra,
35,2022-08-15,15 Aug.,Mon,24 Sravana,1944,(ni) 31 Sravana,5123,Independence Day,
36,2022-08-16,16 Aug.,Tue,25 Sravana,1944,(ni) 01 Bhadra,5123,Parsi New Year's day,
37,2022-08-17,17 Aug.,Wed,26 Sravana,1944,(ni) 02 Bhadra,5123,Simhadi (Kerala),
38,2022-08-18,18 Aug.,Thu,27 Sravana,1944,(ni) 03 Bhadra,5123,Janmashtami (Smarta),
39,2022-08-19,19 Aug.,Fri,28 Sravana,1944,(ni) 04 Bhadra,5123,Gokulashtami (Nandotsava),
40,2022-08-29,29 Aug.,Mon,07 Bhadra,1944,(ni) 14 Bhadra,5123,Tithi of Sri Sankara Deva (Assam),
41,2022-08-31,31 Aug.,Wed,09 Bhadra,1944,(ni) 16 Bhadra,5123,"Samvatsari (Chaturthi Paksha-Jain) Samvatsari (Panchami Paksha-Jain) Vinayak Chaturthi (T. N.), Ganesha Chaturthi",
42,2022-09-08,08 Sep.,Thu,17 Bhadra,1944,(ni) 24 Bhadra,5123,Onam or Thiru Onam Day,
43,2022-09-17,17 Sep.,Sat,26 Bhadra,1944,(ni) 02 Asvina,5123,Visvakarma Puja,
44,2022-09-25,25 Sep.,Sun,03 Asvina,1944,(ni) 10 Asvina,5123,Mahalaya Amavasya,
45,2022-09-27,27 Sep.,Tue,05 Asvina,1944,(ni) 12 Asvina,5123,Jewish New Year (Rosh Hashnah),
46,2022-10-01,01 Oct.,Sat,09 Asvina,1944,(ni) 16 Asvina,5123,Oli Begins (Jain),
47,2022-10-02,02 Oct.,Sun,10 Asvina,1944,(ni) 17 Asvina,5123,Mahatma Gandhi's Birthday Durga Puja Begins (Saptami),
48,2022-10-03,03 Oct.,Mon,11 Asvina,1944,(ni) 18 Asvina,5123,Durga Puja (Mahashtami),
49,2022-10-04,04 Oct.,Tue,12 Asvina,1944,(ni) 19 Asvina,5123,"Durga Puja (Mahanavami), Ayudha Puja",
50,2022-10-05,05 Oct.,Wed,13 Asvina,1944,(ni) 20 Asvina,5123,Vijaya Dasami (Dussehara or Dasahara) Vijaya Dasami (Bengal & Kerala),
51,2022-10-09,09 Oct.,Sun,17 Asvina,1944,(ni) 24 Asvina,5123,"Fateha Dwaz Daham or Bara Wafat Milad-un-Nabi or Id-e-Milad (Birthday of Prophet) Maharshi Valmiki's Birthday, Oli Ends (Jain) Kojagori Lakshmi Puja (Bengal)",
52,2022-10-13,13 Oct.,Thu,21 Asvina,1944,(ni) 28 Asvina,5123,Karaka Chaturthi (Karwa Chouth),
53,2022-10-24,24 Oct.,Mon,02 Kartika,1944,(ni) 09 Kartika,5123,"Dipavali, Kali Puja",
54,2022-10-25,25 Oct.,Tue,03 Kartika,1944,(ni) 10 Kartika,5123,Govardhana Puja,
55,2022-10-26,26 Oct.,Wed,04 Kartika,1944,(ni) 11 Kartika,5123,"Kartika Sukladi, Bhai Duj",
56,2022-10-27,27 Oct.,Thu,05 Kartika,1944,(ni) 12 Kartika,5123,Bhratri Dvitiya (Bengal),
57,2022-10-30,30 Oct.,Sun,08 Kartika,1944,(ni) 15 Kartika,5123,Chhat (Bihar),
58,2022-11-07,07 Nov.,Mon,16 Kartika,1944,(ni) 23 Kartika,5123,Fateha Yazdaham (Giarhween Sharif),
59,2022-11-08,08 Nov.,Tue,17 Kartika,1944,(ni) 24 Kartika,5123,"Guru Nanak's Birthday, Puskar Fair",
60,2022-11-24,24 Nov.,Thu,03 Agrahayana,1944,(ni) 10 Agrahayana,5123,Guru Teg Bahadur's Martyrdom Day,
61,2022-12-24,24 Dec.,Sat,03 Pausha,1944,(ni) 10 Pausha,5123,Christmas Eve,
62,2022-12-25,25 Dec.,Sun,04 Pausha,1944,(ni) 11 Pausha,5123,Christmas Day,
63,2022-12-29,29 Dec.,Thu,08 Pausha,1944,(ni) 15 Pausha,5123,Guru Gobind Singh's Birthday,
64,2023-01-01,01 Jan.,Sun,11 Pausha,1944,(ni) 18 Pausha,5123,Christian (English) New Year's Day,
65,2023-01-13,13 Jan.,Fri,23 Pausha,1944,(ni) 30 Pausha,5123,Lohri (Jammu & Kashmir),
66,2023-01-14,14 Jan.,Sat,24 Pausha,1944,(ni) 01 Magha,5123,"Bhogi (S. India), Makara Samkranti (Bengal) Magha Bihu (Assam) Makara Samkranti (N. India)",
67,2023-01-15,15 Jan.,Sun,25 Pausha,1944,(ni) 02 Magha,5123,"Makara Snana, Tila Samkranti Pongal (S. India), Tai Pongal (kerala)",
68,2023-01-16,16 Jan.,Mon,26 Pausha,1944,(ni) 03 Magha,5123,Mattu Pongal or Kanumu,
69,2023-01-23,23 Jan.,Mon,03 Magha,1944,(ni) 10 Magha,5123,Netaji's Birthday,
70,2023-01-26,26 Jan.,Thu,06 Magha,1944,(ni) 13 Magha,5123,"Sri Panchami, Vasanta Panchami Republic Day, Saraswati Puja",
71,2023-02-05,05 Feb.,Sun,16 Magha,1944,(ni) 23 Magha,5123,Guru Ravi Das's Birthday Hazrat Ali's Birthday Floating Festival/Tai Poosam,
72,2023-02-15,15 Feb.,Wed,26 Magha,1944,(ni) 03 Phalguna,5123,Birthday of Swami Dayananda Saraswati (Founder of Arya Swamaj),
73,2023-02-17,17 Feb.,Fri,28 Magha,1944,(ni) 05 Phalguna,5123,Maha Shivratri (Kashmir),
74,2023-02-18,18 Feb.,Sat,29 Magha,1944,(ni) 06 Phalguna,5123,"Maha Shivratri, Maha Shivratri (S. India)",
75,2023-02-19,19 Feb.,Sun,30 Magha,1944,(ni) 07 Phalguna,5123,"Shivaji Jayanti, Sab-e-Miraj (Preceding night)",
76,2023-02-21,21 Feb.,Tue,02 Phalguna,1944,(ni) 09 Phalguna,5123,Birthday of Sri Ramakrishna Paramahamsa Deva (According to tithi),
77,2023-02-22,22 Feb.,Wed,03 Phalguna,1944,(ni) 10 Phalguna,5123,Ash Wednesday,
78,2023-03-07,07 Mar.,Tue,16 Phalguna,1944,(ni) 23 Phalguna,5123,"Dolyatra, Holikadahana",
79,2023-03-08,08 Mar.,Wed,17 Phalguna,1944,(ni) 24 Phalguna,5123,"Holi, Sab-e-Barat (Preceding night)",
80,2023-03-21,21 Mar.,Tue,30 Phalguna,1944,(ni) 07 Chaitra,5123,Indian Year ending Day,
81,2023-03-22,22 Mar.,Wed,01 Chaitra,1945,(ni) 08 Chaitra,5123,"Indian New Year's Day Chaitra Sukladi (Gudi Padava,Ugadi) Cheti Chand (Sindhi New Year's Day) Telugu New Year's Day Vasant Navaratrarambha",
82,2023-03-24,24 Mar.,Fri,03 Chaitra,1945,(ni) 10 Chaitra,5123,Gauri Tritiya (Gangaur),
83,2023-03-28,28 Mar.,Tue,07 Chaitra,1945,(ni) 14 Chaitra,5123,Vasanti Pujarambha,
84,2023-03-29,29 Mar.,Wed,08 Chaitra,1945,(ni) 15 Chaitra,5123,"Annapurna Puja, Oli Begins (Jain)",
85,2023-03-30,30 Mar.,Thu,09 Chaitra,1945,(ni) 16 Chaitra,5123,Rama Navami,
86,2023-04-04,04 Apr.,Tue,14 Chaitra,1945,(ni) 21 Chaitra,5123,Mahavira Jayanti,
87,2023-04-06,06 Apr.,Thu,16 Chaitra,1945,(ni) 23 Chaitra,5123,"Oli Ends (Jain), First Day of Passover (Pesach)",
88,2023-04-07,07 Apr.,Fri,17 Chaitra,1945,(ni) 24 Chaitra,5123,Good Friday,
89,2023-04-08,08 Apr.,Sat,18 Chaitra,1945,(ni) 25 Chaitra,5123,Easter (Holy) Saturday,
90,2023-04-09,09 Apr.,Sun,19 Chaitra,1945,(ni) 26 Chaitra,5123,Easter Sunday,
91,2023-04-14,14 Apr.,Fri,24 Chaitra,1945,(ni) 01 Vaisakha,5124,"Chaitra Samkranti, Meshadi (T.N.) Cheiroba (Manipur), Mesha Samkranti (Odisha) Vaisakhi (Punjab, Hariyana, H.P., Delhi & Odisha) Dr. B. R. Ambedkar Jayanti, Chadak Puja (Bengal) New Year of All India Nirayana (5124 K.E.) Tamil New Year's Day",
92,2023-04-15,15 Apr.,Sat,25 Chaitra,1945,(ni) 02 Vaisakha,5124,"Vaisakhadi (Bengal), Bhag Bihu (Assam) Shilhenba (Manipur)",
93,2023-04-19,19 Apr.,Wed,29 Chaitra,1945,(ni) 06 Vaisakha,5124,"Sab-e-Qadr (Preceding night) Longitude East and 23° 11' Latitude North (same as Latitude of Ujjain), and for other matters it has been done with respect to local meridians.The timings of different phenomena given in this panchang are in local mean time of the Central Station, which is the same as Indian Standard Time. This time (I.S.T.) is 5h 30m ahead of the Universal Time or Greenwich Mean Time. In general this panchang may be used for all regions of the country. DETAILS OF THE PANCHANG In the beginning of each month's daily panchang information, the data of the month of the National Calendar is provided along with the corresponding time period of the months of All-India Nirayana Calendar, kali aharganas, Julian days covering the month period of National Calendar as well as seasonal and astronomical information. In addition to five panchang elements, namely vaar, tithi, nakshatra, yoga, and karana, information is furnished for kali ahargana, Julian day, times of sunrise and sunset, and moonrise and moonset for an adopted Central Station of India , position of the moon in nirayana rasis, age of the moon corresponding to sunrise time for the adopted Central Station, declination of the sun, sidereal time (noon), equation of time, beginning of lagnas at four metropolitan cities at a time near to sunrise time at respective places, Midday times of these cities as well as Central station and all national festivals have been given for each day of the month of National Calendar. The symbols  indicate new moon, first quarter, full moon and last quarter respectively. Tithi is the time period during which the moon gains 12 degrees or its integral multiples in longitude on the sun. The lunar months cover the period between ending moments of two successive new moons or ending moments of two successive full moons. Nakshatra is the time taken by the moon to traverse a segment of 13° 20 or its integral multiples of nirayana zodiac. There are in all 27 nakshatras covering 360° along the zodiac. Yoga is calculated from the sum of the nirayana longitudes of the sun and moon. When this sum amounts to 13° 20 the first yoga ends, when it amounts to 26° 40 the second yoga ends and so on. There are in all 27 yogas covering 360°. Karana is the time period during which the moon gains 6 degrees in longitude on the sun, and thus there are two karanas covering two half periods of tithimana. There are 7 karanas which repeat in a cyclic order starting from 2nd half of sukla pratipada and ending at 1st half of krishna chaturdasi. There are 4 sthira or non-recurring karanas which cover the period from 2nd half of krishna chaturdasi to 1st half of sukla pratipada. The full list of names of tithi, nakshatra yoga , karana and rasi are given in the table on page xiv of the Rashtriya Panchang. Kali ahargana is the number of days elapsed at 0h I.S.T. since midnight of 17/18th February, 3102 B.C. or -3101 A.D.,and Julian day is the number of days elapsed at 05h - 30m I.S.T. since the Greenwich noon of January 1, 4713 B.C. The time of sunrise and sunset and also of moonrise and moonset relate to the appearance and disappearance of their upper limbs on the horizon and these are in I.S.T. These timings against a particular station given in I.S.T. can be reduced to local mean time (LMT) by applying correction, on the basis of latitude and longitude of the station. Moon's age is the number of mean solar days elapsed since the preceding new moon (conjunction) and here it has been reckoned at the moment of sunrise for the adopted Central Station on each day. Declination of a celestial object signifies its angular distance from the celestial equator and is measured along the perpendicular arc on the equator drawn through the object. It also indicates the position of the object on the celestial sphere north or south of the equator. The sidereal time is the measure of time defined by the diurnal apparent motion of the vernal equinox. Sidereal time (noon) is the hour angle of the vernal equinox at mean noon, i.e. it is the right ascension of the fictitious mean sun. The equation of time corresponds to 12h I.S.T. and has been defined as: 12h minus time of transit of mean sun over adopted central meridian and is applicable for the whole of India without much modification for the local noon. Depending on transit time, the equation of time may be positive as well as negative. Lagna timings shown against four metropolitan cities are the timinings near to sunrise time when the point of ecliptic where 1st point of the mentioned rasi is located, will arise on, or touch the eastern horizon of the place. The midday or apparent noon is the middle of the day or the time when the sun is on the meridian of the place. The timings given are the mean times in I.S.T.",
