# source: Holidays to be observed in Central Government Offices during the year 2026
# publisher: Government of India — Department of Personnel and Training, Establishment (JCA) Section
# url: https://dopt.gov.in/sites/default/files/Holidays%20to%20be%20observed%20in%20Central%20Government%20Offices%20during%20the%20year%202026.pdf
# accessed: 2026-08-03
# license: redistribution rights unclear — transcribed facts only
# notes: 51 rows: 17 gazetted/closed holidays and 34 restricted holidays for Delhi/New Delhi. Memo dated 2025-07-03. Printed weekday was independently recomputed for every row.
# verification: bodu 2026-08-03 — 51 rows (17 gazetted + 34 restricted, Delhi/New Delhi); transcriber recomputed every printed weekday with 0 mismatches; lunar Islamic dates remain subject to the memorandum's own moon-sighting change provisions.
# columns: year,holiday_type,name_as_printed,gregorian_date,weekday_as_printed,memo_number,memo_url
year,holiday_type,name_as_printed,gregorian_date,weekday_as_printed,memo_number,memo_url
2026,gazetted,Republic Day,2026-01-26,Monday,F.No.12/2/2023-JCA,https://dopt.gov.in/sites/default/files/Holidays%20to%20be%20observed%20in%20Central%20Government%20Offices%20during%20the%20year%202026.pdf
2026,gazetted,Holi,2026-03-04,Wednesday,F.No.12/2/2023-JCA,https://dopt.gov.in/sites/default/files/Holidays%20to%20be%20observed%20in%20Central%20Government%20Offices%20during%20the%20year%202026.pdf
2026,gazetted,Id-ul-Fitr,2026-03-21,Saturday,F.No.12/2/2023-JCA,https://dopt.gov.in/sites/default/files/Holidays%20to%20be%20observed%20in%20Central%20Government%20Offices%20during%20the%20year%202026.pdf
2026,gazetted,Ram Navami,2026-03-26,Thursday,F.No.12/2/2023-JCA,https://dopt.gov.in/sites/default/files/Holidays%20to%20be%20observed%20in%20Central%20Government%20Offices%20during%20the%20year%202026.pdf
2026,gazetted,Mahavir Jayanti,2026-03-31,Tuesday,F.No.12/2/2023-JCA,https://dopt.gov.in/sites/default/files/Holidays%20to%20be%20observed%20in%20Central%20Government%20Offices%20during%20the%20year%202026.pdf
2026,gazetted,Good Friday,2026-04-03,Friday,F.No.12/2/2023-JCA,https://dopt.gov.in/sites/default/files/Holidays%20to%20be%20observed%20in%20Central%20Government%20Offices%20during%20the%20year%202026.pdf
2026,gazetted,Budha Purnima,2026-05-01,Friday,F.No.12/2/2023-JCA,https://dopt.gov.in/sites/default/files/Holidays%20to%20be%20observed%20in%20Central%20Government%20Offices%20during%20the%20year%202026.pdf
2026,gazetted,Id-ul-Zuha (Bakrid),2026-05-27,Wednesday,F.No.12/2/2023-JCA,https://dopt.gov.in/sites/default/files/Holidays%20to%20be%20observed%20in%20Central%20Government%20Offices%20during%20the%20year%202026.pdf
2026,gazetted,Muharram,2026-06-26,Friday,F.No.12/2/2023-JCA,https://dopt.gov.in/sites/default/files/Holidays%20to%20be%20observed%20in%20Central%20Government%20Offices%20during%20the%20year%202026.pdf
2026,gazetted,Independence Day,2026-08-15,Saturday,F.No.12/2/2023-JCA,https://dopt.gov.in/sites/default/files/Holidays%20to%20be%20observed%20in%20Central%20Government%20Offices%20during%20the%20year%202026.pdf
