# Umm al-Qura month starts, AH 1410-1462 (636 rows), ICU islamic-umalqura data generated
#   through Node.js Intl and delivered in the 3 Aug 2026 data-acquisition pack.
# status=independent-reconciliation - a platform dataset corresponding to the KACST table,
#   suitable for cross-vendor copy checks; NOT a gazette and NOT sighting announcements.
#   AH 1449-1462 rows are future calendar-table values by definition.
# Reference: R. H. van Gent, https://webspace.science.uu.nl/~gent0113/islam/ummalqura.htm
#   (converter valid 1356-1500 AH); official site https://www.ummulqura.org.sa/.
# Known divergences vs the vectors' sources are documented in
#   NotableDateCatalogueVerification.md (retrospective vs contemporaneous 1410-1411 tables).
# Columns: ahYear,ahMonth,gregorianStart
1410,1,1989-08-03
1410,2,1989-09-02
1410,3,1989-10-02
1410,4,1989-10-31
1410,5,1989-11-30
1410,6,1989-12-30
1410,7,1990-01-28
1410,8,1990-02-27
1410,9,1990-03-28
1410,10,1990-04-26
1410,11,1990-05-26
1410,12,1990-06-24
1411,1,1990-07-23
1411,2,1990-08-22
1411,3,1990-09-21
1411,4,1990-10-20
1411,5,1990-11-19
1411,6,1990-12-19
1411,7,1991-01-17
1411,8,1991-02-16
1411,9,1991-03-18
1411,10,1991-04-16
1411,11,1991-05-15
1411,12,1991-06-14
1412,1,1991-07-13
1412,2,1991-08-12
1412,3,1991-09-10
1412,4,1991-10-10
1412,5,1991-11-08
1412,6,1991-12-08
1412,7,1992-01-06
1412,8,1992-02-05
1412,9,1992-03-06
1412,10,1992-04-05
1412,11,1992-05-04
1412,12,1992-06-02
1413,1,1992-07-02
1413,2,1992-07-31
1413,3,1992-08-30
1413,4,1992-09-28
1413,5,1992-10-27
1413,6,1992-11-26
1413,7,1992-12-25
1413,8,1993-01-24
1413,9,1993-02-23
1413,10,1993-03-25
1413,11,1993-04-23
1413,12,1993-05-23
1414,1,1993-06-21
1414,2,1993-07-21
1414,3,1993-08-19
1414,4,1993-09-18
1414,5,1993-10-17
1414,6,1993-11-15
1414,7,1993-12-15
1414,8,1994-01-13
1414,9,1994-02-12
1414,10,1994-03-14
1414,11,1994-04-12
1414,12,1994-05-12
1415,1,1994-06-11
1415,2,1994-07-10
1415,3,1994-08-09
1415,4,1994-09-07
1415,5,1994-10-07
1415,6,1994-11-05
1415,7,1994-12-04
1415,8,1995-01-03
1415,9,1995-02-01
1415,10,1995-03-03
1415,11,1995-04-01
1415,12,1995-05-01
1416,1,1995-05-31
1416,2,1995-06-30
1416,3,1995-07-29
1416,4,1995-08-28
1416,5,1995-09-26
1416,6,1995-10-26
1416,7,1995-11-24
1416,8,1995-12-23
1416,9,1996-01-22
1416,10,1996-02-20
1416,11,1996-03-21
1416,12,1996-04-19
1417,1,1996-05-19
1417,2,1996-06-18
1417,3,1996-07-17
1417,4,1996-08-16
1417,5,1996-09-15
1417,6,1996-10-14
1417,7,1996-11-12
1417,8,1996-12-12
1417,9,1997-01-10
1417,10,1997-02-09
1417,11,1997-03-10
1417,12,1997-04-09
1418,1,1997-05-08
1418,2,1997-06-07
1418,3,1997-07-06
1418,4,1997-08-05
1418,5,1997-09-04
1418,6,1997-10-03
1418,7,1997-11-02
1418,8,1997-12-01
1418,9,1997-12-31
1418,10,1998-01-29
1418,11,1998-02-28
1418,12,1998-03-29
1419,1,1998-04-28
1419,2,1998-05-27
1419,3,1998-06-26
1419,4,1998-07-25
1419,5,1998-08-24
1419,6,1998-09-22
1419,7,1998-10-22
1419,8,1998-11-20
1419,9,1998-12-20
1419,10,1999-01-19
1419,11,1999-02-18
1419,12,1999-03-19
1420,1,1999-04-17
1420,2,1999-05-16
1420,3,1999-06-15
1420,4,1999-07-14
1420,5,1999-08-12
1420,6,1999-09-11
1420,7,1999-10-10
1420,8,1999-11-09
1420,9,1999-12-09
1420,10,2000-01-08
1420,11,2000-02-07
1420,12,2000-03-07
1421,1,2000-04-06
1421,2,2000-05-05
1421,3,2000-06-03
1421,4,2000-07-03
1421,5,2000-08-01
1421,6,2000-08-30
1421,7,2000-09-28
1421,8,2000-10-28
1421,9,2000-11-27
1421,10,2000-12-27
1421,11,2001-01-26
1421,12,2001-02-24
1422,1,2001-03-26
1422,2,2001-04-25
1422,3,2001-05-24
1422,4,2001-06-22
1422,5,2001-07-22
1422,6,2001-08-20
1422,7,2001-09-18
1422,8,2001-10-17
1422,9,2001-11-16
1422,10,2001-12-16
1422,11,2002-01-15
1422,12,2002-02-13
1423,1,2002-03-15
1423,2,2002-04-14
1423,3,2002-05-13
1423,4,2002-06-12
1423,5,2002-07-11
1423,6,2002-08-10
1423,7,2002-09-08
1423,8,2002-10-07
1423,9,2002-11-06
1423,10,2002-12-05
1423,11,2003-01-04
1423,12,2003-02-02
1424,1,2003-03-04
1424,2,2003-04-03
1424,3,2003-05-02
1424,4,2003-06-01
1424,5,2003-07-01
1424,6,2003-07-30
1424,7,2003-08-29
1424,8,2003-09-27
1424,9,2003-10-26
1424,10,2003-11-25
1424,11,2003-12-24
1424,12,2004-01-23
1425,1,2004-02-21
1425,2,2004-03-22
1425,3,2004-04-20
1425,4,2004-05-20
1425,5,2004-06-19
1425,6,2004-07-18
1425,7,2004-08-17
1425,8,2004-09-15
1425,9,2004-10-15
1425,10,2004-11-14
1425,11,2004-12-13
1425,12,2005-01-12
1426,1,2005-02-10
1426,2,2005-03-11
1426,3,2005-04-10
1426,4,2005-05-09
1426,5,2005-06-08
1426,6,2005-07-07
1426,7,2005-08-06
1426,8,2005-09-05
1426,9,2005-10-04
1426,10,2005-11-03
1426,11,2005-12-03
1426,12,2006-01-01
1427,1,2006-01-31
1427,2,2006-03-01
1427,3,2006-03-30
1427,4,2006-04-29
1427,5,2006-05-28
1427,6,2006-06-27
1427,7,2006-07-26
1427,8,2006-08-25
1427,9,2006-09-24
1427,10,2006-10-23
1427,11,2006-11-22
1427,12,2006-12-22
1428,1,2007-01-20
1428,2,2007-02-19
1428,3,2007-03-20
1428,4,2007-04-18
1428,5,2007-05-18
1428,6,2007-06-16
1428,7,2007-07-15
1428,8,2007-08-14
1428,9,2007-09-13
1428,10,2007-10-13
1428,11,2007-11-11
1428,12,2007-12-11
1429,1,2008-01-10
1429,2,2008-02-08
1429,3,2008-03-09
1429,4,2008-04-07
1429,5,2008-05-06
1429,6,2008-06-05
1429,7,2008-07-04
1429,8,2008-08-02
1429,9,2008-09-01
1429,10,2008-10-01
1429,11,2008-10-30
1429,12,2008-11-29
1430,1,2008-12-29
1430,2,2009-01-27
1430,3,2009-02-26
1430,4,2009-03-28
1430,5,2009-04-26
1430,6,2009-05-25
1430,7,2009-06-24
1430,8,2009-07-23
1430,9,2009-08-22
1430,10,2009-09-20
1430,11,2009-10-20
1430,12,2009-11-18
1431,1,2009-12-18
1431,2,2010-01-16
1431,3,2010-02-15
1431,4,2010-03-17
1431,5,2010-04-15
1431,6,2010-05-15
1431,7,2010-06-13
1431,8,2010-07-13
1431,9,2010-08-11
1431,10,2010-09-10
1431,11,2010-10-09
1431,12,2010-11-07
1432,1,2010-12-07
1432,2,2011-01-05
1432,3,2011-02-04
1432,4,2011-03-06
1432,5,2011-04-05
1432,6,2011-05-04
1432,7,2011-06-03
1432,8,2011-07-02
1432,9,2011-08-01
1432,10,2011-08-30
1432,11,2011-09-29
1432,12,2011-10-28
1433,1,2011-11-26
1433,2,2011-12-26
1433,3,2012-01-24
1433,4,2012-02-23
1433,5,2012-03-24
1433,6,2012-04-22
1433,7,2012-05-22
1433,8,2012-06-21
1433,9,2012-07-20
1433,10,2012-08-19
1433,11,2012-09-17
1433,12,2012-10-17
1434,1,2012-11-15
1434,2,2012-12-14
1434,3,2013-01-13
1434,4,2013-02-11
1434,5,2013-03-13
1434,6,2013-04-11
1434,7,2013-05-11
1434,8,2013-06-10
1434,9,2013-07-09
1434,10,2013-08-08
1434,11,2013-09-07
1434,12,2013-10-06
1435,1,2013-11-04
1435,2,2013-12-04
1435,3,2014-01-02
1435,4,2014-02-01
1435,5,2014-03-02
1435,6,2014-04-01
1435,7,2014-04-30
1435,8,2014-05-30
1435,9,2014-06-28
1435,10,2014-07-28
1435,11,2014-08-27
1435,12,2014-09-25
1436,1,2014-10-25
1436,2,2014-11-23
1436,3,2014-12-23
1436,4,2015-01-21
1436,5,2015-02-20
1436,6,2015-03-21
1436,7,2015-04-20
1436,8,2015-05-19
1436,9,2015-06-18
1436,10,2015-07-17
1436,11,2015-08-16
1436,12,2015-09-14
1437,1,2015-10-14
1437,2,2015-11-13
1437,3,2015-12-12
1437,4,2016-01-11
1437,5,2016-02-10
1437,6,2016-03-10
1437,7,2016-04-08
1437,8,2016-05-08
1437,9,2016-06-06
1437,10,2016-07-06
1437,11,2016-08-04
1437,12,2016-09-02
1438,1,2016-10-02
1438,2,2016-11-01
1438,3,2016-11-30
1438,4,2016-12-30
1438,5,2017-01-29
1438,6,2017-02-28
1438,7,2017-03-29
1438,8,2017-04-27
1438,9,2017-05-27
1438,10,2017-06-25
1438,11,2017-07-24
1438,12,2017-08-23
1439,1,2017-09-21
1439,2,2017-10-21
1439,3,2017-11-19
1439,4,2017-12-19
1439,5,2018-01-18
1439,6,2018-02-17
1439,7,2018-03-18
1439,8,2018-04-17
1439,9,2018-05-16
1439,10,2018-06-15
1439,11,2018-07-14
1439,12,2018-08-12
1440,1,2018-09-11
1440,2,2018-10-10
1440,3,2018-11-09
1440,4,2018-12-08
1440,5,2019-01-07
1440,6,2019-02-06
1440,7,2019-03-08
1440,8,2019-04-06
1440,9,2019-05-06
1440,10,2019-06-04
1440,11,2019-07-04
1440,12,2019-08-02
1441,1,2019-08-31
1441,2,2019-09-30
1441,3,2019-10-29
1441,4,2019-11-28
1441,5,2019-12-27
1441,6,2020-01-26
1441,7,2020-02-25
1441,8,2020-03-25
1441,9,2020-04-24
1441,10,2020-05-24
1441,11,2020-06-22
1441,12,2020-07-22
1442,1,2020-08-20
1442,2,2020-09-18
1442,3,2020-10-18
1442,4,2020-11-16
1442,5,2020-12-16
1442,6,2021-01-14
1442,7,2021-02-13
1442,8,2021-03-14
1442,9,2021-04-13
1442,10,2021-05-13
1442,11,2021-06-11
1442,12,2021-07-11
1443,1,2021-08-09
1443,2,2021-09-08
1443,3,2021-10-07
1443,4,2021-11-06
1443,5,2021-12-05
1443,6,2022-01-04
1443,7,2022-02-02
1443,8,2022-03-04
1443,9,2022-04-02
1443,10,2022-05-02
1443,11,2022-05-31
1443,12,2022-06-30
1444,1,2022-07-30
1444,2,2022-08-28
1444,3,2022-09-27
1444,4,2022-10-26
1444,5,2022-11-25
1444,6,2022-12-25
1444,7,2023-01-23
1444,8,2023-02-21
1444,9,2023-03-23
1444,10,2023-04-21
1444,11,2023-05-21
1444,12,2023-06-19
1445,1,2023-07-19
1445,2,2023-08-17
1445,3,2023-09-16
