# RFC 5545 section 3.8.5.3 worked recurrence examples
# source-class: official-published (normative standard text)
# source: RFC 5545, "Internet Calendaring and Scheduling Core Object Specification (iCalendar)",
#         B. Desruisseaux, Ed., September 2009. Section 3.8.5.3 "Recurrence Rule", Example block.
# source-url: https://www.rfc-editor.org/rfc/rfc5545
# acquired: 2026-08-05 (HTML rendering fetched user-side; the build environment cannot reach the host)
# acquired-sha256: da74384bbb2c31580b023ab599cb8b0d8d377259608e241445234356f4a964ca
# licence: IETF Trust Legal Provisions. RFC text may be reproduced and distributed with the
#          copyright notice retained; code components are BSD-licensed.
# extraction: corpus/recurrence/rfc5545/extract-rfc5545-examples.py (committed alongside)
# transcription: the RFC states occurrences as prose (month names, day ranges, comma lists, and a
#          "(YYYY 9:00 AM EDT)" year marker). expectedDates is that notation expanded to concrete
#          dates. Self-check: every COUNT=n rule expands to exactly n dates, and every expanded date
#          is a real calendar date. Verified 2026-08-05: 0 problems over 39 examples.
# occurrence time-of-day equals the DTSTART time except where flagged time-expansion.
# flags: elided        = the RFC abbreviates the list with "..."; not fully enumerable
#        utc-until     = UNTIL is UTC-valued against a zoned DTSTART
#        sub-daily     = FREQ is HOURLY/MINUTELY/SECONDLY (not enumerated by this library)
#        time-expansion= BYHOUR/BYMINUTE/BYSECOND expands within the day
id,description,dtstart,rrule,flags,expectedDates
1,Daily for 10 occurrences,19970902T090000,RRULE:FREQ=DAILY;COUNT=10,,1997-09-02 1997-09-03 1997-09-04 1997-09-05 1997-09-06 1997-09-07 1997-09-08 1997-09-09 1997-09-10 1997-09-11
2,"Daily until December 24, 1997",19970902T090000,RRULE:FREQ=DAILY;UNTIL=19971224T000000Z,utc-until,1997-09-02 1997-09-03 1997-09-04 1997-09-05 1997-09-06 1997-09-07 1997-09-08 1997-09-09 1997-09-10 1997-09-11 1997-09-12 1997-09-13 1997-09-14 1997-09-15 1997-09-16 1997-09-17 1997-09-18 1997-09-19 1997-09-20 1997-09-21 1997-09-22 1997-09-23 1997-09-24 1997-09-25 1997-09-26 1997-09-27 1997-09-28 1997-09-29 1997-09-30 1997-10-01 1997-10-02 1997-10-03 1997-10-04 1997-10-05 1997-10-06 1997-10-07 1997-10-08 1997-10-09 1997-10-10 1997-10-11 1997-10-12 1997-10-13 1997-10-14 1997-10-15 1997-10-16 1997-10-17 1997-10-18 1997-10-19 1997-10-20 1997-10-21 1997-10-22 1997-10-23 1997-10-24 1997-10-25 1997-10-26 1997-10-27 1997-10-28 1997-10-29 1997-10-30 1997-10-31 1997-11-01 1997-11-02 1997-11-03 1997-11-04 1997-11-05 1997-11-06 1997-11-07 1997-11-08 1997-11-09 1997-11-10 1997-11-11 1997-11-12 1997-11-13 1997-11-14 1997-11-15 1997-11-16 1997-11-17 1997-11-18 1997-11-19 1997-11-20 1997-11-21 1997-11-22 1997-11-23 1997-11-24 1997-11-25 1997-11-26 1997-11-27 1997-11-28 1997-11-29 1997-11-30 1997-12-01 1997-12-02 1997-12-03 1997-12-04 1997-12-05 1997-12-06 1997-12-07 1997-12-08 1997-12-09 1997-12-10 1997-12-11 1997-12-12 1997-12-13 1997-12-14 1997-12-15 1997-12-16 1997-12-17 1997-12-18 1997-12-19 1997-12-20 1997-12-21 1997-12-22 1997-12-23
3,Every other day - forever,19970902T090000,RRULE:FREQ=DAILY;INTERVAL=2,elided,1997-09-02 1997-09-04 1997-09-06 1997-09-26 1997-09-28 1997-09-30 1997-10-02 1997-10-04 1997-10-22 1997-10-24 1997-10-26 1997-10-28 1997-10-30 1997-11-01 1997-11-03 1997-11-05 1997-11-27 1997-11-29 1997-12-01 1997-12-03
4,"Every 10 days, 5 occurrences",19970902T090000,RRULE:FREQ=DAILY;INTERVAL=10;COUNT=5,,1997-09-02 1997-09-12 1997-09-22 1997-10-02 1997-10-12
5,"Every day in January, for 3 years",19980101T090000,"RRULE:FREQ=YEARLY;UNTIL=20000131T140000Z;BYMONTH=1;BYDAY=SU,MO,TU,WE,TH,FR,SA",utc-until,1998-01-01 1998-01-02 1998-01-03 1998-01-04 1998-01-05 1998-01-06 1998-01-07 1998-01-08 1998-01-09 1998-01-10 1998-01-11 1998-01-12 1998-01-13 1998-01-14 1998-01-15 1998-01-16 1998-01-17 1998-01-18 1998-01-19 1998-01-20 1998-01-21 1998-01-22 1998-01-23 1998-01-24 1998-01-25 1998-01-26 1998-01-27 1998-01-28 1998-01-29 1998-01-30 1998-01-31 1999-01-01 1999-01-02 1999-01-03 1999-01-04 1999-01-05 1999-01-06 1999-01-07 1999-01-08 1999-01-09 1999-01-10 1999-01-11 1999-01-12 1999-01-13 1999-01-14 1999-01-15 1999-01-16 1999-01-17 1999-01-18 1999-01-19 1999-01-20 1999-01-21 1999-01-22 1999-01-23 1999-01-24 1999-01-25 1999-01-26 1999-01-27 1999-01-28 1999-01-29 1999-01-30 1999-01-31 2000-01-01 2000-01-02 2000-01-03 2000-01-04 2000-01-05 2000-01-06 2000-01-07 2000-01-08 2000-01-09 2000-01-10 2000-01-11 2000-01-12 2000-01-13 2000-01-14 2000-01-15 2000-01-16 2000-01-17 2000-01-18 2000-01-19 2000-01-20 2000-01-21 2000-01-22 2000-01-23 2000-01-24 2000-01-25 2000-01-26 2000-01-27 2000-01-28 2000-01-29 2000-01-30 2000-01-31
6,Weekly for 10 occurrences,19970902T090000,RRULE:FREQ=WEEKLY;COUNT=10,,1997-09-02 1997-09-09 1997-09-16 1997-09-23 1997-09-30 1997-10-07 1997-10-14 1997-10-21 1997-10-28 1997-11-04
7,"Weekly until December 24, 1997",19970902T090000,RRULE:FREQ=WEEKLY;UNTIL=19971224T000000Z,utc-until,1997-09-02 1997-09-09 1997-09-16 1997-09-23 1997-09-30 1997-10-07 1997-10-14 1997-10-21 1997-10-28 1997-11-04 1997-11-11 1997-11-18 1997-11-25 1997-12-02 1997-12-09 1997-12-16 1997-12-23
8,Every other week - forever,19970902T090000,RRULE:FREQ=WEEKLY;INTERVAL=2;WKST=SU,elided,1997-09-02 1997-09-16 1997-09-30 1997-10-14 1997-10-28 1997-11-11 1997-11-25 1997-12-09 1997-12-23 1998-01-06 1998-01-20 1998-02-03 1998-02-17
9,Weekly on Tuesday and Thursday for five weeks,19970902T090000,"RRULE:FREQ=WEEKLY;UNTIL=19971007T000000Z;WKST=SU;BYDAY=TU,TH",utc-until,1997-09-02 1997-09-04 1997-09-09 1997-09-11 1997-09-16 1997-09-18 1997-09-23 1997-09-25 1997-09-30 1997-10-02
10,"24, 1997, starting on Monday, September 1, 1997",19970901T090000,"RRULE:FREQ=WEEKLY;INTERVAL=2;UNTIL=19971224T000000Z;WKST=SU;BYDAY=MO,WE,FR",utc-until,1997-09-01 1997-09-03 1997-09-05 1997-09-15 1997-09-17 1997-09-19 1997-09-29 1997-10-01 1997-10-03 1997-10-13 1997-10-15 1997-10-17 1997-10-27 1997-10-29 1997-10-31 1997-11-10 1997-11-12 1997-11-14 1997-11-24 1997-11-26 1997-11-28 1997-12-08 1997-12-10 1997-12-12 1997-12-22
11,"Every other week on Tuesday and Thursday, for 8 occurrences",19970902T090000,"RRULE:FREQ=WEEKLY;INTERVAL=2;COUNT=8;WKST=SU;BYDAY=TU,TH",,1997-09-02 1997-09-04 1997-09-16 1997-09-18 1997-09-30 1997-10-02 1997-10-14 1997-10-16
12,Monthly on the first Friday for 10 occurrences,19970905T090000,RRULE:FREQ=MONTHLY;COUNT=10;BYDAY=1FR,,1997-09-05 1997-10-03 1997-11-07 1997-12-05 1998-01-02 1998-02-06 1998-03-06 1998-04-03 1998-05-01 1998-06-05
13,"Monthly on the first Friday until December 24, 1997",19970905T090000,RRULE:FREQ=MONTHLY;UNTIL=19971224T000000Z;BYDAY=1FR,utc-until,1997-09-05 1997-10-03 1997-11-07 1997-12-05
14,occurrences,19970907T090000,"RRULE:FREQ=MONTHLY;INTERVAL=2;COUNT=10;BYDAY=1SU,-1SU",,1997-09-07 1997-09-28 1997-11-02 1997-11-30 1998-01-04 1998-01-25 1998-03-01 1998-03-29 1998-05-03 1998-05-31
15,Monthly on the second-to-last Monday of the month for 6 months,19970922T090000,RRULE:FREQ=MONTHLY;COUNT=6;BYDAY=-2MO,,1997-09-22 1997-10-20 1997-11-17 1997-12-22 1998-01-19 1998-02-16
16,"Monthly on the third-to-the-last day of the month, forever",19970928T090000,RRULE:FREQ=MONTHLY;BYMONTHDAY=-3,elided,1997-09-28 1997-10-29 1997-11-28 1997-12-29 1998-01-29 1998-02-26
17,Monthly on the 2nd and 15th of the month for 10 occurrences,19970902T090000,"RRULE:FREQ=MONTHLY;COUNT=10;BYMONTHDAY=2,15",,1997-09-02 1997-09-15 1997-10-02 1997-10-15 1997-11-02 1997-11-15 1997-12-02 1997-12-15 1998-01-02 1998-01-15
18,Monthly on the first and last day of the month for 10 occurrences,19970930T090000,"RRULE:FREQ=MONTHLY;COUNT=10;BYMONTHDAY=1,-1",,1997-09-30 1997-10-01 1997-10-31 1997-11-01 1997-11-30 1997-12-01 1997-12-31 1998-01-01 1998-01-31 1998-02-01
19,occurrences,19970910T090000,"RRULE:FREQ=MONTHLY;INTERVAL=18;COUNT=10;BYMONTHDAY=10,11,12,13,14,15",,1997-09-10 1997-09-11 1997-09-12 1997-09-13 1997-09-14 1997-09-15 1999-03-10 1999-03-11 1999-03-12 1999-03-13
20,"Every Tuesday, every other month",19970902T090000,RRULE:FREQ=MONTHLY;INTERVAL=2;BYDAY=TU,elided,1997-09-02 1997-09-09 1997-09-16 1997-09-23 1997-09-30 1997-11-04 1997-11-11 1997-11-18 1997-11-25 1998-01-06 1998-01-13 1998-01-20 1998-01-27 1998-03-03 1998-03-10 1998-03-17 1998-03-24 1998-03-31
21,Yearly in June and July for 10 occurrences,19970610T090000,"RRULE:FREQ=YEARLY;COUNT=10;BYMONTH=6,7",,1997-06-10 1997-07-10 1998-06-10 1998-07-10 1999-06-10 1999-07-10 2000-06-10 2000-07-10 2001-06-10 2001-07-10
22,occurrences,19970310T090000,"RRULE:FREQ=YEARLY;INTERVAL=2;COUNT=10;BYMONTH=1,2,3",,1997-03-10 1999-01-10 1999-02-10 1999-03-10 2001-01-10 2001-02-10 2001-03-10 2003-01-10 2003-02-10 2003-03-10
23,occurrences,19970101T090000,"RRULE:FREQ=YEARLY;INTERVAL=3;COUNT=10;BYYEARDAY=1,100,200",,1997-01-01 1997-04-10 1997-07-19 2000-01-01 2000-04-09 2000-07-18 2003-01-01 2003-04-10 2003-07-19 2006-01-01
24,"Every 20th Monday of the year, forever",19970519T090000,RRULE:FREQ=YEARLY;BYDAY=20MO,elided,1997-05-19 1998-05-18 1999-05-17
25,"Monday), forever",19970512T090000,RRULE:FREQ=YEARLY;BYWEEKNO=20;BYDAY=MO,elided,1997-05-12 1998-05-11 1999-05-17
26,"Every Thursday in March, forever",19970313T090000,RRULE:FREQ=YEARLY;BYMONTH=3;BYDAY=TH,elided,1997-03-13 1997-03-20 1997-03-27 1998-03-05 1998-03-12 1998-03-19 1998-03-26 1999-03-04 1999-03-11 1999-03-18 1999-03-25
27,"Every Thursday, but only during June, July, and August, forever",19970605T090000,"RRULE:FREQ=YEARLY;BYDAY=TH;BYMONTH=6,7,8",elided,1997-06-05 1997-06-12 1997-06-19 1997-06-26 1997-07-03 1997-07-10 1997-07-17 1997-07-24 1997-07-31 1997-08-07 1997-08-14 1997-08-21 1997-08-28 1998-06-04 1998-06-11 1998-06-18 1998-06-25 1998-07-02 1998-07-09 1998-07-16 1998-07-23 1998-07-30 1998-08-06 1998-08-13 1998-08-20 1998-08-27 1999-06-03 1999-06-10 1999-06-17 1999-06-24 1999-07-01 1999-07-08 1999-07-15 1999-07-22 1999-07-29 1999-08-05 1999-08-12 1999-08-19 1999-08-26
28,"Every Friday the 13th, forever",19970902T090000,RRULE:FREQ=MONTHLY;BYDAY=FR;BYMONTHDAY=13,elided,1998-02-13 1998-03-13 1998-11-13 1999-08-13 2000-10-13
29,forever,19970913T090000,"RRULE:FREQ=MONTHLY;BYDAY=SA;BYMONTHDAY=7,8,9,10,11,12,13",elided,1997-09-13 1997-10-11 1997-11-08 1997-12-13 1998-01-10 1998-02-07 1998-03-07 1998-04-11 1998-05-09
30,forever (U.S. Presidential Election day),19961105T090000,"RRULE:FREQ=YEARLY;INTERVAL=4;BYMONTH=11;BYDAY=TU;BYMONTHDAY=2,3,4,5,6,7,8",elided,1996-11-05 2000-11-07 2004-11-02
31,"Thursday, for the next 3 months",19970904T090000,"RRULE:FREQ=MONTHLY;COUNT=3;BYDAY=TU,WE,TH;BYSETPOS=3",,1997-09-04 1997-10-07 1997-11-06
32,The second-to-last weekday of the month,19970929T090000,"RRULE:FREQ=MONTHLY;BYDAY=MO,TU,WE,TH,FR;BYSETPOS=-2",elided,1997-09-29 1997-10-30 1997-11-27 1997-12-30 1998-01-29 1998-02-26 1998-03-30
33,Every 3 hours from 9:00 AM to 5:00 PM on a specific day,19970902T090000,RRULE:FREQ=HOURLY;INTERVAL=3;UNTIL=19970902T170000Z,utc-until sub-daily,
34,Every 15 minutes for 6 occurrences,19970902T090000,RRULE:FREQ=MINUTELY;INTERVAL=15;COUNT=6,sub-daily,
35,Every hour and a half for 4 occurrences,19970902T090000,RRULE:FREQ=MINUTELY;INTERVAL=90;COUNT=4,sub-daily,
36,Every 20 minutes from 9:00 AM to 4:40 PM every day,19970902T090000,"RRULE:FREQ=DAILY;BYHOUR=9,10,11,12,13,14,15,16;BYMINUTE=0,20,40",sub-daily time-expansion,
37,WKST,19970805T090000,"RRULE:FREQ=WEEKLY;INTERVAL=2;COUNT=4;BYDAY=TU,SU;WKST=MO",,1997-08-05 1997-08-10 1997-08-19 1997-08-24
38,"changing only WKST from MO to SU, yields different results...",19970805T090000,"RRULE:FREQ=WEEKLY;INTERVAL=2;COUNT=4;BYDAY=TU,SU;WKST=SU",,1997-08-05 1997-08-17 1997-08-19 1997-08-31
