# source: Annual holidays of financial institutions and subsequent amendment/additional-holiday notifications, 2020–2026
# publisher: Bank of Thailand
# url: https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2562/EngPDF/25620179.pdf; https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2563/EngPDF/25630233.pdf; https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2563/EngPDF/25630208.pdf; https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2564/EngPDF/25640124.pdf; https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2564/EngPDF/25640207.pdf; https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2565/EngPDF/25650128.pdf; https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2566/EngPDF/25660133.pdf; https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2566/EngPDF/25660204.pdf; https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2567/EngPDF/25670152.pdf; https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2567/EngPDF/25670209.pdf; https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2568/EngPDF/25680162.pdf; https://www.bot.or.th/content/dam/bot/fipcs/documents/FPG/2569/EngPDF/25690116.pdf
# accessed: 2026-08-03
# license: redistribution rights unclear — transcribed facts only; BOT site states copyright / all rights reserved
# notes: 126 final-effective rows. Weekdays computed from Gregorian dates. 2020 removes the suspended April Songkran rows and includes the September replacement holidays. 2023-12-29 replaces the initially announced 2024-01-02 special holiday. 2026-10-16 is scoped to financial institutions in Bangkok only.
# verification: bodu 2026-08-03 — 126 rows, years contiguous 2020-2026; caveat: the weekday column was computed from the date by the transcriber, not transcribed from the notices, so it is not an independent check; English notices are unofficial translations (Thai text prevails).
# columns: year,name_en_as_published,gregorian_date,weekday,notes
year,name_en_as_published,gregorian_date,weekday,notes
2020,New Year’s Day,2020-01-01,Wednesday,
2020,Substitution for Makha Bucha Day (Saturday 8th February 2020),2020-02-10,Monday,substitution day
2020,Chakri Memorial Day,2020-04-06,Monday,
2020,National Labour Day,2020-05-01,Friday,
2020,Coronation Day,2020-05-04,Monday,
2020,Visakha Bucha Day,2020-05-06,Wednesday,
2020,H.M. Queen Suthida Bajrasudhabimalalakshana’s Birthday,2020-06-03,Wednesday,
2020,Substitution for Asarnha Bucha Day (Sunday 5th July 2020),2020-07-06,Monday,substitution day
2020,H.M. King Maha Vajiralongkorn Phra Vajiraklaochaoyuhua’s Birthday,2020-07-28,Tuesday,
2020,H.M. Queen Sirikit The Queen Mother’s Birthday / Mother’s Day,2020-08-12,Wednesday,
2020,Substituted holiday for Songkran Festival,2020-09-04,Friday,substitution holiday under FPG. 18/2563
2020,Substituted holiday for Songkran Festival,2020-09-07,Monday,substitution holiday under FPG. 18/2563
2020,H.M. King Bhumibol Adulyadej The Great Memorial Day,2020-10-13,Tuesday,
2020,Chulalongkorn Day,2020-10-23,Friday,
2020,Substitution for H.M. King Bhumibol Adulyadej The Great’s Birthday / National Day / Father’s Day (Saturday 5th December 2020),2020-12-07,Monday,substitution day
2020,Constitution Day,2020-12-10,Thursday,
2020,New Year’s Eve,2020-12-31,Thursday,
2021,New Year’s Day,2021-01-01,Friday,
2021,Makha Bucha Day,2021-02-26,Friday,
2021,Chakri Memorial Day,2021-04-06,Tuesday,
2021,Songkran Festival,2021-04-13,Tuesday,
2021,Songkran Festival,2021-04-14,Wednesday,
2021,Songkran Festival,2021-04-15,Thursday,
2021,Substitution for National Labour Day (Saturday 1st May 2021),2021-05-03,Monday,substitution day
2021,Coronation Day,2021-05-04,Tuesday,
2021,Visakha Bucha Day,2021-05-26,Wednesday,
