# Illustrative daily exchange rates for the Bodu.Financial samples (central-bank-b).
# Business days 2024-01-02 .. 2024-03-29. Values are synthetic (deterministic
# oscillation around levels approximating published 2024 Q1 ranges) and are
# NOT actual published rates - they exist so the samples run fully offline.
# Columns: Date,From,To,Rate
Date,From,To,Rate
2024-01-02,AUD,USD,0.6703
2024-01-02,AUD,JPY,97.86
2024-01-03,AUD,USD,0.6711
2024-01-03,AUD,JPY,97.55
2024-01-04,AUD,USD,0.6714
2024-01-04,AUD,JPY,97.20
2024-01-05,AUD,USD,0.6711
2024-01-05,AUD,JPY,96.87
2024-01-08,AUD,USD,0.6705
2024-01-08,AUD,JPY,96.60
2024-01-09,AUD,USD,0.6698
2024-01-09,AUD,JPY,96.43
2024-01-10,AUD,USD,0.6692
2024-01-10,AUD,JPY,96.40
2024-01-11,AUD,USD,0.6688
2024-01-11,AUD,JPY,96.52
2024-01-12,AUD,USD,0.6688
2024-01-12,AUD,JPY,96.78
2024-01-15,AUD,USD,0.6691
2024-01-15,AUD,JPY,97.13
2024-01-16,AUD,USD,0.6698
2024-01-16,AUD,JPY,97.55
2024-01-17,AUD,USD,0.6706
2024-01-17,AUD,JPY,97.97
2024-01-18,AUD,USD,0.6712
2024-01-18,AUD,JPY,98.34
2024-01-19,AUD,USD,0.6717
2024-01-19,AUD,JPY,98.63
2024-01-22,AUD,USD,0.6716
2024-01-22,AUD,JPY,98.83
2024-01-23,AUD,USD,0.6709
2024-01-23,AUD,JPY,98.93
2024-01-24,AUD,USD,0.6697
2024-01-24,AUD,JPY,98.96
2024-01-25,AUD,USD,0.6679
2024-01-25,AUD,JPY,98.97
2024-01-26,AUD,USD,0.6657
2024-01-26,AUD,JPY,98.98
2024-01-29,AUD,USD,0.6634
2024-01-29,AUD,JPY,99.06
2024-01-30,AUD,USD,0.6612
2024-01-30,AUD,JPY,99.23
2024-01-31,AUD,USD,0.6592
2024-01-31,AUD,JPY,99.51
2024-02-01,AUD,USD,0.6577
2024-02-01,AUD,JPY,99.90
2024-02-02,AUD,USD,0.6567
2024-02-02,AUD,JPY,100.37
2024-02-05,AUD,USD,0.6562
2024-02-05,AUD,JPY,100.87
2024-02-06,AUD,USD,0.6561
2024-02-06,AUD,JPY,101.36
2024-02-07,AUD,USD,0.6561
2024-02-07,AUD,JPY,101.77
2024-02-08,AUD,USD,0.6562
2024-02-08,AUD,JPY,102.08
2024-02-09,AUD,USD,0.6560
2024-02-09,AUD,JPY,102.26
2024-02-12,AUD,USD,0.6555
2024-02-12,AUD,JPY,102.29
2024-02-13,AUD,USD,0.6546
2024-02-13,AUD,JPY,102.20
2024-02-14,AUD,USD,0.6533
2024-02-14,AUD,JPY,102.02
2024-02-15,AUD,USD,0.6517
2024-02-15,AUD,JPY,101.79
2024-02-16,AUD,USD,0.6500
2024-02-16,AUD,JPY,101.57
2024-02-19,AUD,USD,0.6485
2024-02-19,AUD,JPY,101.40
2024-02-20,AUD,USD,0.6474
2024-02-20,AUD,JPY,101.31
2024-02-21,AUD,USD,0.6468
2024-02-21,AUD,JPY,101.30
2024-02-22,AUD,USD,0.6469
2024-02-22,AUD,JPY,101.37
2024-02-23,AUD,USD,0.6475
2024-02-23,AUD,JPY,101.48
2024-02-26,AUD,USD,0.6488
2024-02-26,AUD,JPY,101.58
2024-02-27,AUD,USD,0.6504
2024-02-27,AUD,JPY,101.64
2024-02-28,AUD,USD,0.6521
2024-02-28,AUD,JPY,101.61
2024-02-29,AUD,USD,0.6538
2024-02-29,AUD,JPY,101.45
2024-03-01,AUD,USD,0.6552
2024-03-01,AUD,JPY,101.16
2024-03-04,AUD,USD,0.6562
2024-03-04,AUD,JPY,100.75
2024-03-05,AUD,USD,0.6568
2024-03-05,AUD,JPY,100.25
2024-03-06,AUD,USD,0.6570
2024-03-06,AUD,JPY,99.71
2024-03-07,AUD,USD,0.6570
2024-03-07,AUD,JPY,99.17
2024-03-08,AUD,USD,0.6570
2024-03-08,AUD,JPY,98.70
2024-03-11,AUD,USD,0.6572
2024-03-11,AUD,JPY,98.34
2024-03-12,AUD,USD,0.6577
2024-03-12,AUD,JPY,98.09
2024-03-13,AUD,USD,0.6587
2024-03-13,AUD,JPY,97.96
2024-03-14,AUD,USD,0.6601
2024-03-14,AUD,JPY,97.94
2024-03-15,AUD,USD,0.6621
2024-03-15,AUD,JPY,97.98
2024-03-18,AUD,USD,0.6643
2024-03-18,AUD,JPY,98.03
2024-03-19,AUD,USD,0.6665
2024-03-19,AUD,JPY,98.05
2024-03-20,AUD,USD,0.6686
2024-03-20,AUD,JPY,98.01
2024-03-21,AUD,USD,0.6704
2024-03-21,AUD,JPY,97.88
2024-03-22,AUD,USD,0.6716
2024-03-22,AUD,JPY,97.66
2024-03-25,AUD,USD,0.6722
2024-03-25,AUD,JPY,97.37
2024-03-26,AUD,USD,0.6722
2024-03-26,AUD,JPY,97.06
2024-03-27,AUD,USD,0.6717
2024-03-27,AUD,JPY,96.78
2024-03-28,AUD,USD,0.6709
2024-03-28,AUD,JPY,96.56
2024-03-29,AUD,USD,0.6700
2024-03-29,AUD,JPY,96.46
