# Illustrative AUD-based daily exchange rates for the Bodu.Financial samples.
# Business days 2024-01-02 .. 2024-06-28. Values are synthetic (deterministic
# oscillation around levels that approximate published 2024 H1 ranges) and are
# NOT actual published rates - they exist so the samples run fully offline.
# Columns: Date,From,To,Rate
Date,From,To,Rate
2024-01-02,AUD,USD,0.6580
2024-01-02,AUD,EUR,0.6152
2024-01-02,AUD,JPY,97.86
2024-01-03,AUD,USD,0.6606
2024-01-03,AUD,EUR,0.6144
2024-01-03,AUD,JPY,97.55
2024-01-04,AUD,USD,0.6629
2024-01-04,AUD,EUR,0.6140
2024-01-04,AUD,JPY,97.20
2024-01-05,AUD,USD,0.6648
2024-01-05,AUD,EUR,0.6138
2024-01-05,AUD,JPY,96.87
2024-01-08,AUD,USD,0.6661
2024-01-08,AUD,EUR,0.6138
2024-01-08,AUD,JPY,96.60
2024-01-09,AUD,USD,0.6668
2024-01-09,AUD,EUR,0.6139
2024-01-09,AUD,JPY,96.43
2024-01-10,AUD,USD,0.6669
2024-01-10,AUD,EUR,0.6139
2024-01-10,AUD,JPY,96.40
2024-01-11,AUD,USD,0.6667
2024-01-11,AUD,EUR,0.6137
2024-01-11,AUD,JPY,96.52
2024-01-12,AUD,USD,0.6663
2024-01-12,AUD,EUR,0.6132
2024-01-12,AUD,JPY,96.78
2024-01-15,AUD,USD,0.6660
2024-01-15,AUD,EUR,0.6123
2024-01-15,AUD,JPY,97.13
2024-01-16,AUD,USD,0.6660
2024-01-16,AUD,EUR,0.6110
2024-01-16,AUD,JPY,97.55
2024-01-17,AUD,USD,0.6663
2024-01-17,AUD,EUR,0.6094
2024-01-17,AUD,JPY,97.97
2024-01-18,AUD,USD,0.6670
2024-01-18,AUD,EUR,0.6077
2024-01-18,AUD,JPY,98.34
2024-01-19,AUD,USD,0.6681
2024-01-19,AUD,EUR,0.6060
2024-01-19,AUD,JPY,98.63
2024-01-22,AUD,USD,0.6694
2024-01-22,AUD,EUR,0.6045
2024-01-22,AUD,JPY,98.83
2024-01-23,AUD,USD,0.6707
2024-01-23,AUD,EUR,0.6034
2024-01-23,AUD,JPY,98.93
2024-01-24,AUD,USD,0.6716
2024-01-24,AUD,EUR,0.6027
2024-01-24,AUD,JPY,98.96
2024-01-25,AUD,USD,0.6721
2024-01-25,AUD,EUR,0.6023
2024-01-25,AUD,JPY,98.97
2024-01-26,AUD,USD,0.6719
2024-01-26,AUD,EUR,0.6024
2024-01-26,AUD,JPY,98.98
2024-01-29,AUD,USD,0.6710
2024-01-29,AUD,EUR,0.6028
2024-01-29,AUD,JPY,99.06
2024-01-30,AUD,USD,0.6695
2024-01-30,AUD,EUR,0.6032
2024-01-30,AUD,JPY,99.23
2024-01-31,AUD,USD,0.6675
2024-01-31,AUD,EUR,0.6037
2024-01-31,AUD,JPY,99.51
2024-02-01,AUD,USD,0.6653
2024-02-01,AUD,EUR,0.6040
2024-02-01,AUD,JPY,99.90
2024-02-02,AUD,USD,0.6630
2024-02-02,AUD,EUR,0.6040
2024-02-02,AUD,JPY,100.37
2024-02-05,AUD,USD,0.6609
2024-02-05,AUD,EUR,0.6038
2024-02-05,AUD,JPY,100.87
2024-02-06,AUD,USD,0.6593
2024-02-06,AUD,EUR,0.6033
2024-02-06,AUD,JPY,101.36
2024-02-07,AUD,USD,0.6581
2024-02-07,AUD,EUR,0.6027
2024-02-07,AUD,JPY,101.77
2024-02-08,AUD,USD,0.6575
2024-02-08,AUD,EUR,0.6021
2024-02-08,AUD,JPY,102.08
2024-02-09,AUD,USD,0.6572
2024-02-09,AUD,EUR,0.6017
2024-02-09,AUD,JPY,102.26
2024-02-12,AUD,USD,0.6572
2024-02-12,AUD,EUR,0.6017
2024-02-12,AUD,JPY,102.29
2024-02-13,AUD,USD,0.6571
2024-02-13,AUD,EUR,0.6020
2024-02-13,AUD,JPY,102.20
2024-02-14,AUD,USD,0.6568
2024-02-14,AUD,EUR,0.6028
2024-02-14,AUD,JPY,102.02
2024-02-15,AUD,USD,0.6561
2024-02-15,AUD,EUR,0.6040
2024-02-15,AUD,JPY,101.79
2024-02-16,AUD,USD,0.6549
2024-02-16,AUD,EUR,0.6055
2024-02-16,AUD,JPY,101.57
2024-02-19,AUD,USD,0.6533
2024-02-19,AUD,EUR,0.6071
2024-02-19,AUD,JPY,101.40
2024-02-20,AUD,USD,0.6513
2024-02-20,AUD,EUR,0.6088
2024-02-20,AUD,JPY,101.31
2024-02-21,AUD,USD,0.6491
2024-02-21,AUD,EUR,0.6102
2024-02-21,AUD,JPY,101.30
2024-02-22,AUD,USD,0.6470
2024-02-22,AUD,EUR,0.6114
2024-02-22,AUD,JPY,101.37
2024-02-23,AUD,USD,0.6452
2024-02-23,AUD,EUR,0.6122
2024-02-23,AUD,JPY,101.48
2024-02-26,AUD,USD,0.6440
2024-02-26,AUD,EUR,0.6127
2024-02-26,AUD,JPY,101.58
2024-02-27,AUD,USD,0.6434
2024-02-27,AUD,EUR,0.6128
2024-02-27,AUD,JPY,101.64
2024-02-28,AUD,USD,0.6436
2024-02-28,AUD,EUR,0.6128
2024-02-28,AUD,JPY,101.61
2024-02-29,AUD,USD,0.6443
2024-02-29,AUD,EUR,0.6128
2024-02-29,AUD,JPY,101.45
2024-03-01,AUD,USD,0.6456
2024-03-01,AUD,EUR,0.6129
2024-03-01,AUD,JPY,101.16
2024-03-04,AUD,USD,0.6470
2024-03-04,AUD,EUR,0.6132
2024-03-04,AUD,JPY,100.75
2024-03-05,AUD,USD,0.6485
2024-03-05,AUD,EUR,0.6139
2024-03-05,AUD,JPY,100.25
2024-03-06,AUD,USD,0.6497
2024-03-06,AUD,EUR,0.6148
2024-03-06,AUD,JPY,99.71
2024-03-07,AUD,USD,0.6505
2024-03-07,AUD,EUR,0.6159
2024-03-07,AUD,JPY,99.17
2024-03-08,AUD,USD,0.6509
2024-03-08,AUD,EUR,0.6172
2024-03-08,AUD,JPY,98.70
2024-03-11,AUD,USD,0.6510
2024-03-11,AUD,EUR,0.6183
2024-03-11,AUD,JPY,98.34
2024-03-12,AUD,USD,0.6508
2024-03-12,AUD,EUR,0.6193
